"a1","a2","a3","a4","a5","y2","y1","target_bins"
0.663113,0.774276,0.47097,0.096044,0.019865,0.191476,0.083362,7
0.65996,0.766021,0.473398,0.111023,0.027957,0.174192,0.081265,7
0.65467,0.767519,0.474198,0.10541,0.028907,0.165544,0.079168,7
0.653325,0.769922,0.475963,0.066221,0.029411,0.16819,0.07707,6
0.654726,0.760449,0.478833,0.033746,0.031592,0.170836,0.074973,6
0.656049,0.770984,0.480173,0.07637,0.029059,0.173482,0.072876,5
0.659265,0.767728,0.473564,0.072832,0.030466,0.176128,0.070778,5
0.664925,0.771507,0.468518,0.037896,0.028344,0.178774,0.068681,5
0.659041,0.768564,0.468305,0.210117,0.17725,0.181421,0.066583,4
0.650972,0.75303,0.465209,0.402624,0.385987,0.184067,0.064486,4
0.649627,0.754249,0.46792,0.396773,0.444726,0.186713,0.062389,4
0.644673,0.76522,0.467871,0.377757,0.47477,0.189359,0.060291,3
0.641113,0.771071,0.46455,0.408316,0.490413,0.202504,0.058194,3
0.643859,0.775825,0.449397,0.428523,0.496781,0.229378,0.056097,3
0.646604,0.784184,0.430624,0.408951,0.49555,0.256252,0.053999,2
0.653247,0.782896,0.427877,0.397725,0.4983,0.263734,0.051902,2
0.664342,0.765534,0.427541,0.399755,0.5056,0.245859,0.049804,2
0.673319,0.752229,0.424622,0.416934,0.508549,0.227984,0.047707,2
0.676738,0.762782,0.419276,0.40911,0.506526,0.210108,0.04561,2
0.674177,0.764454,0.418128,0.391086,0.508895,0.171483,0.060932,3
0.668881,0.763061,0.42953,0.394063,0.508649,0.140356,0.081198,7
0.665691,0.767501,0.441444,0.42994,0.507147,0.154515,0.078143,6
0.664906,0.772151,0.442945,0.436982,0.507042,0.168675,0.075087,6
0.664122,0.77391,0.442748,0.392702,0.50526,0.182835,0.072031,5
0.665979,0.771542,0.43917,0.376544,0.505389,0.19071,0.068975,5
0.666539,0.778333,0.430807,0.415868,0.504568,0.190367,0.065919,4
0.662168,0.75923,0.424384,0.436131,0.512143,0.190025,0.062863,4
0.659052,0.751724,0.432138,0.436438,0.515122,0.189682,0.059807,3
0.659607,0.750714,0.432567,0.450612,0.514688,0.18934,0.056751,3
0.662717,0.757314,0.42718,0.389867,0.514946,0.188997,0.053696,2
0.667749,0.766805,0.418122,0.384311,0.513445,0.188655,0.05064,2
0.671095,0.770183,0.412268,0.401807,0.509774,0.188312,0.047584,2
0.670002,0.78159,0.414512,0.375704,0.504931,0.18797,0.046122,2
0.671381,0.766683,0.4167,0.375001,0.507218,0.187627,0.046743,2
0.672315,0.764402,0.417499,0.370693,0.507083,0.187285,0.047365,2
0.669513,0.783174,0.411746,0.375773,0.504181,0.186942,0.047987,2
0.666711,0.784167,0.400838,0.397,0.505342,0.1866,0.048609,2
0.666315,0.782338,0.396347,0.382576,0.507042,0.186257,0.049231,2
0.66657,0.787197,0.394535,0.423613,0.504052,0.185915,0.049853,2
0.664426,0.769034,0.398233,0.436846,0.508039,0.185572,0.050474,2
0.662283,0.768895,0.400742,0.423341,0.509,0.18523,0.051096,2
0.660139,0.78314,0.390288,0.433024,0.507077,0.184888,0.051718,2
0.661526,0.777845,0.383718,0.408872,0.510724,0.184545,0.05234,2
0.666948,0.770357,0.38972,0.399324,0.511123,0.184203,0.052962,2
0.67237,0.754754,0.387306,0.395038,0.517373,0.18386,0.053584,2
