"a1","a2","a3","a4","a5","y2","y1"
0.667749,0.766805,0.418122,0.384311,0.513445,0.188655,0.05064
0.634698,0.780231,0.363676,0.382599,0.499689,0.213917,0.053616
0.610481,0.756861,0.249026,0.391954,0.511393,0.210987,0.05057
0.615029,0.774955,0.203323,0.401683,0.510197,0.245252,0.047462
0.624716,0.760675,0.197496,0.407704,0.509821,0.169803,0.047462
0.624582,0.783418,0.176106,0.431669,0.507288,0.191486,0.047462
0.6504,0.760919,0.297393,0.419032,0.509986,0.190094,0.049742
0.646079,0.783174,0.29245,0.442844,0.505629,0.187769,0.061172
0.660603,0.756809,0.321039,0.399086,0.512671,0.1837,0.048907
0.664723,0.769539,0.311631,0.370262,0.513363,0.177113,0.053282
0.666489,0.761528,0.313424,0.402227,0.513761,0.175796,0.054157
0.553646,0.765986,0.222168,0.423318,0.508309,0.477009,0.020191
0.260905,0.417683,0.062392,0.412013,0.520481,0.311219,0.034561
0.85199,0.848774,0.49606,0.377144,0.506256,0.271957,0.044861
0.843371,0.854503,0.478434,0.389595,0.504263,0.226317,0.040952
0.694558,0.826989,0.430569,0.719897,0.692747,0.244,0.043632
0.58478,0.683617,0.334368,0.728866,0.699068,0.259465,0.044101
0.587179,0.693908,0.328604,0.733209,0.690812,0.234843,0.045823
0.59508,0.680203,0.302615,0.728413,0.697221,0.212552,0.057014
0.59276,0.668135,0.294454,0.728798,0.703266,0.214337,0.058736
0.601502,0.697148,0.306766,0.760991,0.699877,0.193314,0.061318
0.517703,0.604573,0.358253,0.699679,0.70404,0.181849,0.05973
0.501789,0.589736,0.314589,0.728333,0.699713,0.183226,0.061183
0.511203,0.605479,0.292622,0.731945,0.69949,0.17358,0.053325
0.52556,0.59604,0.312126,0.761183,0.697596,0.175125,0.060178
0.533612,0.5819,0.304222,0.744163,0.699983,0.18173,0.057808
0.525821,0.592122,0.290452,0.749878,0.699783,0.195065,0.058677
0.524196,0.594716,0.281578,0.746816,0.700839,0.190871,0.055344
0.526501,0.603128,0.275748,0.726417,0.697708,0.172894,0.043579
0.509031,0.583293,0.251054,0.718162,0.698822,0.20915,0.040512
0.509914,0.596615,0.255542,0.699532,0.697063,0.215874,0.041466
0.500903,0.600742,0.263006,0.745138,0.697391,0.150447,0.052914
0.494044,0.596945,0.323149,0.759887,0.704837,0.179614,0.056543
0.496898,0.582631,0.23524,0.739408,0.706092,0.16061,0.058586
0.494403,0.612845,0.254268,0.711438,0.693814,0.180192,0.047914
0.485257,0.578573,0.245479,0.71929,0.70438,0.185414,0.045068
0.473366,0.608944,0.238299,0.699169,0.699982,0.18933,0.042934
0.48301,0.593828,0.242899,0.712867,0.702903,0.28124,0.028934
0.483935,0.598739,0.216016,0.72399,0.695046,0.195726,0.040069
0.471556,0.592122,0.214996,0.718253,0.694741,0.190223,0.042297
0.473893,0.59402,0.158379,0.140834,0.458306,0.253092,0.046982
0.372835,0.180186,0.626676,0.070179,0.412184,0.120959,0.059717
0.376197,0.153281,0.632206,0.091508,0.412958,0.121242,0.058142
0.381644,0.195719,0.630803,0.061686,0.403635,0.126344,0.045981
0.396939,0.20636,0.706487,0.046366,0.41243,0.283608,0.031172
0.401689,0.192289,0.692313,0.093436,0.411375,0.330167,0.027891
0.640078,0.445058,0.784602,0.759471,0.583213,0.196042,0.038498
0.645327,0.419615,0.788218,0.734649,0.604046,0.177894,0.054634
0.619008,0.429002,0.770406,0.713479,0.604491,0.179471,0.053842
0.623233,0.423708,0.775605,0.761444,0.603436,0.179696,0.053729
0.62441,0.442916,0.777723,0.757498,0.594582,0.179921,0.053616
0.620835,0.435741,0.738604,0.756013,0.602521,0.181723,0.052711
0.647598,0.421966,0.770218,0.715792,0.599684,0.182529,0.060547
0.662179,0.404535,0.753494,0.747928,0.609065,0.274905,0.048117
0.653897,0.442637,0.756724,0.733946,0.596717,0.229123,0.050595
0.655578,0.424892,0.750624,0.719806,0.604069,0.233464,0.050534
0.655376,0.42228,0.693067,0.687932,0.60421,0.268197,0.050046
0.663451,0.423621,0.643381,0.820998,0.600762,0.297123,0.04968
0.639237,0.431736,0.58147,0.840604,0.607071,0.235327,0.050466
